Entity,Code,Year,Deaths - Neoplasms - Sex: Both - Age: Under 5 (Rate),Deaths - Neoplasms - Sex: Both - Age: Age-standardized (Rate),Deaths - Neoplasms - Sex: Both - Age: All Ages (Rate),Deaths - Neoplasms - Sex: Both - Age: 70+ years (Rate),Deaths - Neoplasms - Sex: Both - Age: 5-14 years (Rate),Deaths - Neoplasms - Sex: Both - Age: 50-69 years (Rate),Deaths - Neoplasms - Sex: Both - Age: 15-49 years (Rate)
American Samoa,ASM,1990,4.46,146.69,63.36,1171.32,2.81,313.29,25.15
American Samoa,ASM,1991,4.33,145.84,63.6,1160.99,2.76,312.65,25.32
American Samoa,ASM,1992,4.2,144.76,63.84,1146.02,2.72,311.58,25.53
American Samoa,ASM,1993,4.16,143.97,64.25,1136.59,2.7,310.24,25.66
American Samoa,ASM,1994,4.18,144.21,65.25,1134.56,2.72,310.38,26.23
American Samoa,ASM,1995,4.16,144.11,66.24,1134.19,2.72,309.9,26.75
American Samoa,ASM,1996,4.15,143.67,67.26,1130.49,2.72,308.1,27.21
American Samoa,ASM,1997,4.11,142.85,68.16,1125.39,2.72,305.89,27.59
American Samoa,ASM,1998,4.16,143.85,70,1134.52,2.75,307.72,28.19
American Samoa,ASM,1999,4.02,142.8,71.01,1127.59,2.74,306.02,28.45
American Samoa,ASM,2000,3.95,143.66,72.97,1135.94,2.73,308.92,29.37
American Samoa,ASM,2001,3.97,144.12,74.99,1143.55,2.73,309.65,29.98
American Samoa,ASM,2002,4.08,145.06,77.25,1159.28,2.8,310.14,30.46
American Samoa,ASM,2003,4.05,146.44,79.86,1178.3,2.82,312.1,31.06
American Samoa,ASM,2004,4.04,147.48,82.37,1195.49,2.82,313.02,31.62
American Samoa,ASM,2005,3.96,148.28,84.72,1211.58,2.8,311.93,32.24
American Samoa,ASM,2006,3.9,149.49,87.68,1228.05,2.78,313.87,32.94
American Samoa,ASM,2007,3.81,149.73,90.2,1234.1,2.75,313.64,33.48
American Samoa,ASM,2008,3.77,149.92,92.79,1239.19,2.74,313.41,34.02
American Samoa,ASM,2009,3.75,150.27,95.5,1244.81,2.73,313.84,34.61
American Samoa,ASM,2010,3.72,150.42,97.83,1253.18,2.7,313.03,34.82
American Samoa,ASM,2011,3.71,151.99,101.47,1268.4,2.69,316,35.64
American Samoa,ASM,2012,3.77,152.88,104.7,1277.53,2.7,317.86,36.11
American Samoa,ASM,2013,3.74,153.57,107.83,1283.26,2.7,319.78,36.48
American Samoa,ASM,2014,3.74,153.81,110.61,1285.87,2.69,320.78,36.49
American Samoa,ASM,2015,3.74,154.39,113.41,1290.34,2.69,321.96,36.47
American Samoa,ASM,2016,3.81,154.46,116.18,1289.33,2.72,322.94,36.27
American Samoa,ASM,2017,3.73,154.02,118.5,1285.66,2.69,322.62,35.83
American Samoa,ASM,2018,3.67,153.61,120.87,1279.47,2.67,322.75,35.41
American Samoa,ASM,2019,3.61,153.15,123.14,1270.97,2.64,323.1,35
Andorra,AND,1990,9.39,194.33,186.01,1609.16,4.95,451.11,34.14
Andorra,AND,1991,8.81,193.79,182.35,1606.13,4.88,451.13,33.29
Andorra,AND,1992,8.71,193.79,185.62,1599.85,4.85,451.18,33.74
Andorra,AND,1993,8.22,192.06,188.41,1591.85,4.6,445,34.98
Andorra,AND,1994,8.09,190.37,196.1,1592.55,4.37,440.43,35.53
Andorra,AND,1995,7.92,187.46,201.96,1582.81,4.26,432.71,36
Andorra,AND,1996,7.77,185.17,205.43,1569.6,4.13,426.92,36.16
Andorra,AND,1997,7.55,182.33,208.87,1555.14,4.02,417.27,36.21
Andorra,AND,1998,7.33,180.08,212.99,1548.67,3.91,406.26,36.35
Andorra,AND,1999,6.93,178.17,218.38,1546.57,3.82,397.34,36.83
Andorra,AND,2000,6.68,176.73,226.19,1544.13,3.74,392.06,37.2
Andorra,AND,2001,6.39,175.25,231.9,1544.08,3.67,386.6,37.95
Andorra,AND,2002,5.95,173.45,236.07,1542.25,3.55,382.09,38.26
Andorra,AND,2003,5.96,172.23,229.34,1549.1,3.65,376,37.74
Andorra,AND,2004,5.96,172.19,224.06,1567.92,3.7,372.38,37.46
Andorra,AND,2005,5.98,170.73,222.94,1580.86,3.71,368.69,36.89
Andorra,AND,2006,6,169.85,223.13,1585.5,3.66,362.97,36.9
Andorra,AND,2007,6.12,167.88,224.45,1586.21,3.62,358.43,36.9
Andorra,AND,2008,6.04,166.79,227.56,1595.36,3.54,358.06,37.14
Andorra,AND,2009,5.91,166.36,234.76,1606.74,3.43,361.08,37.66
Andorra,AND,2010,5.67,165.27,239.52,1604.12,3.33,358.03,37.86
Andorra,AND,2011,5.51,163.91,243.43,1636.77,3.26,354.56,37.62
Andorra,AND,2012,5.29,163.21,247.54,1654.65,3.2,350.63,37.87
Andorra,AND,2013,4.97,163.52,254.12,1657.23,3.06,350.46,38.09
Andorra,AND,2014,4.6,163.65,258.09,1652.14,2.93,349.36,38.17
Andorra,AND,2015,4.11,162.69,261.28,1644.75,2.74,346.82,38.02
Andorra,AND,2016,4.15,162.27,266.25,1634.5,2.75,346.56,38.23
Andorra,AND,2017,4.14,161.91,269.32,1619.99,2.72,346.01,38.47
Andorra,AND,2018,4.08,161.75,272.96,1601.95,2.68,345.06,38.48
Andorra,AND,2019,4.03,161.38,276.41,1582.72,2.64,346.01,38.63
Angola,AGO,1990,16.95,117.02,47.33,763.91,4.33,306.41,23.23
Angola,AGO,1991,16.79,116.91,46.91,765.24,4.33,305.08,22.92
Angola,AGO,1992,16.7,117.26,46.72,768.94,4.39,304.63,22.8
Angola,AGO,1993,16.56,118.08,46.85,771.19,4.57,306.19,23.13
Angola,AGO,1994,16.37,118.47,46.76,771.36,4.67,306.74,23.37
Angola,AGO,1995,16.14,117.56,45.92,769.28,4.5,304.89,23
Angola,AGO,1996,15.96,115.38,44.28,767.86,4.04,298.13,21.57
Angola,AGO,1997,15.86,114.93,43.64,770.32,3.92,296.17,21.3
Angola,AGO,1998,15.91,116.65,44.26,777.53,4.19,300.6,22.47
Angola,AGO,1999,16.02,117.9,44.56,784.86,4.31,303.89,23.24
Angola,AGO,2000,16.03,117.28,44.03,786.17,4.22,298.89,22.87
Angola,AGO,2001,15.97,115.23,43.03,778.93,4.13,289.91,22.2
Angola,AGO,2002,15.8,113.88,42.31,776.18,4.05,281.67,21.99
Angola,AGO,2003,15.55,114.24,42.33,779.37,4.1,280.32,22.2
Angola,AGO,2004,16.17,115.48,42.83,788.41,4.38,280.85,22.57
Angola,AGO,2005,15.66,113.89,41.96,786.03,4.31,274.7,21.98
Angola,AGO,2006,15.02,113.77,41.7,791.37,4.33,273.21,21.82
Angola,AGO,2007,14.6,112.4,41.12,785.43,4.34,269.03,21.49
Angola,AGO,2008,13.97,112.71,41.13,789.14,4.36,268.82,21.65
Angola,AGO,2009,13,113.32,41.19,794.06,4.32,269.4,21.8
Angola,AGO,2010,12.65,113.75,41.36,795.9,4.4,268.93,21.85
Angola,AGO,2011,11.77,114.25,41.47,800.27,4.39,269.22,21.84
Angola,AGO,2012,11.08,114.64,41.59,803.04,4.36,269.54,21.7
Angola,AGO,2013,10.24,114.16,41.36,801.53,4.25,266.96,21.46
Angola,AGO,2014,9.54,112.4,40.61,795.46,4.05,260.74,20.79
Angola,AGO,2015,9.12,112.75,40.83,804.53,4,261.83,20.72
Angola,AGO,2016,8.45,112.55,40.85,807.1,3.7,262.75,20.56
Angola,AGO,2017,7.77,113.13,41.37,814,3.8,265.14,20.89
Angola,AGO,2018,7.39,114.14,41.97,825.8,3.71,268.74,21.04
Angola,AGO,2019,7.34,114.7,42.44,834.39,3.64,271.6,21.01
Antigua and Barbuda,ATG,1990,4.63,137.07,124.32,1215.36,3.42,332.71,23.87
Antigua and Barbuda,ATG,1991,4.55,139.21,125.5,1258.05,3.61,331.28,23.73
Antigua and Barbuda,ATG,1992,4.52,140.5,125.33,1276.73,3.64,332.31,23.91
Antigua and Barbuda,ATG,1993,4.54,148.42,130.54,1383.44,3.78,346.31,22.83
Antigua and Barbuda,ATG,1994,4.62,149.95,129.46,1403.6,3.85,346.19,22.99
Antigua and Barbuda,ATG,1995,4.72,150.21,127.34,1416.62,3.9,339.7,23.27
Antigua and Barbuda,ATG,1996,4.8,139.07,116.23,1301.95,4.4,307.41,23.68
Antigua and Barbuda,ATG,1997,4.83,135.92,112.16,1277.9,4.45,294.6,23.7
Antigua and Barbuda,ATG,1998,4.98,135.51,110.58,1285.57,4.45,287.8,23.58
Antigua and Barbuda,ATG,1999,5.18,136.41,110.5,1309.74,4.51,283.85,23.4
Antigua and Barbuda,ATG,2000,5.36,138.34,111.42,1343.09,4.56,283.72,23.03
Antigua and Barbuda,ATG,2001,5.53,136.53,109.79,1338.2,4.55,274.66,22.69
Antigua and Barbuda,ATG,2002,5.78,136.26,109.82,1342.3,4.58,270.2,22.92
Antigua and Barbuda,ATG,2003,5.95,134.94,109.34,1329.79,4.54,265.18,23.19
Antigua and Barbuda,ATG,2004,6.23,134.72,109.99,1332.04,4.56,262.39,23.19
Antigua and Barbuda,ATG,2005,6.46,133.6,110.26,1315.65,4.54,260.46,23.4
Antigua and Barbuda,ATG,2006,6.73,136.8,114.22,1354.33,4.52,264.75,23.72
Antigua and Barbuda,ATG,2007,7.01,158.6,132.63,1635.43,3.89,294.65,23.51
Antigua and Barbuda,ATG,2008,7.19,158.79,134.13,1628.48,3.87,296.24,23.99
Antigua and Barbuda,ATG,2009,7.35,147.41,126.65,1495.26,4.05,275.85,24.01
Antigua and Barbuda,ATG,2010,7.56,146.03,127.62,1466.4,4.19,275.32,24.38
Antigua and Barbuda,ATG,2011,7.69,146.41,130.22,1461.78,4.23,277.01,24.42
Antigua and Barbuda,ATG,2012,7.8,147.05,133.27,1457.95,4.15,279.11,24.43
Antigua and Barbuda,ATG,2013,7.85,145.07,134.34,1415.44,4.04,279.56,24.29
Antigua and Barbuda,ATG,2014,7.7,146.58,138.67,1421.09,4.1,282.94,24.4
Antigua and Barbuda,ATG,2015,7.59,146.98,142.07,1418.17,4.21,283.37,24.21
Antigua and Barbuda,ATG,2016,7.39,147.15,145.42,1414.78,4.24,282.74,24.22
Antigua and Barbuda,ATG,2017,7.3,146.54,148.36,1393.66,4.13,283.46,24.24
Antigua and Barbuda,ATG,2018,7.18,146.06,151.61,1380.43,4.05,283.41,24.15
Antigua and Barbuda,ATG,2019,7.04,146.11,155.52,1378.04,4.06,283.38,24.05
Argentina,ARG,1990,8.55,177.96,170.28,1361.6,6.49,457.88,40.84
Argentina,ARG,1991,8.34,176.89,170.39,1351.29,6.4,456.33,40.96
Argentina,ARG,1992,7.98,178.07,172.81,1363.1,6.3,460.06,41.06
Argentina,ARG,1993,7.55,176.95,173.18,1361.86,6.17,456.5,40.44
Argentina,ARG,1994,7.28,175.03,172.87,1347.88,5.85,451.33,40.15
Argentina,ARG,1995,7.12,175.01,174.55,1356.4,5.58,449.78,39.65
Argentina,ARG,1996,6.95,176.46,177.68,1368.69,5.48,454.15,39.61
Argentina,ARG,1997,6.55,177.86,180.73,1390.02,5.4,455.22,39.3
Argentina,ARG,1998,6.33,179.54,183.9,1422.28,5.36,454.49,38.63
Argentina,ARG,1999,6.03,179.9,185.56,1436.24,5.24,452.13,38.27
Argentina,ARG,2000,5.83,176.07,182.89,1415.38,5.15,439.37,37.14
Argentina,ARG,2001,5.68,175.35,183.48,1416.38,5.17,436.92,36.39
Argentina,ARG,2002,5.71,175.94,185.41,1427.18,5.1,439.91,35.59
Argentina,ARG,2003,5.6,175.83,186.49,1440.92,4.95,437.68,34.75
Argentina,ARG,2004,5.51,172.27,183.86,1419.4,5.01,428.13,33.74
Argentina,ARG,2005,5.38,169.29,182.05,1396.66,5.18,422.11,33.16
Argentina,ARG,2006,5.28,168.08,182.32,1392.6,5.19,420.09,32.61
Argentina,ARG,2007,5.33,169.21,185,1405.55,5.19,424.48,32.65
Argentina,ARG,2008,5.28,164.87,181.54,1366.71,5.09,416.2,32.06
Argentina,ARG,2009,5.24,162.93,180.81,1353.44,5.08,411.61,32.1
Argentina,ARG,2010,5.22,161.89,181.15,1364.03,4.96,406.05,31.44
Argentina,ARG,2011,5.15,160.65,181,1357.86,4.93,403.28,31.18
Argentina,ARG,2012,5.03,159.22,180.62,1343.63,4.82,401.56,30.99
Argentina,ARG,2013,4.94,157.63,180.14,1332.77,4.8,397.43,30.77
Argentina,ARG,2014,4.89,155.2,178.72,1320.69,4.8,389.7,30.13
Argentina,ARG,2015,4.71,155.5,180.36,1328.37,4.72,389.99,30.11
Argentina,ARG,2016,4.65,158.62,185.1,1356.54,4.73,397.62,30.94
Argentina,ARG,2017,4.56,159.65,187.45,1364.94,4.68,400.44,31.42
Argentina,ARG,2018,4.48,158.05,187.02,1342.63,4.6,397.49,31.86
Argentina,ARG,2019,4.4,158.02,188.87,1341.03,4.53,396.26,32.12
Armenia,ARM,1990,10.11,148.33,121.13,815.42,8.56,446.14,37.98
Armenia,ARM,1991,9.83,150.22,124.95,831.93,7.87,460.32,38.49
Armenia,ARM,1992,9.55,158.44,134.12,881,7.88,489.76,43.66
Armenia,ARM,1993,9.38,159.58,137.02,900.07,8.28,502.63,45.97
Armenia,ARM,1994,9.18,150.6,131.42,855.03,8.44,481.56,45.83
Armenia,ARM,1995,9.01,147.81,132.1,845.65,8.27,490.91,44.42
Armenia,ARM,1996,8.99,148.56,136.14,854.55,7.66,502.32,45.17
Armenia,ARM,1997,8.97,142.96,134.31,838.26,7.5,481.98,43.95
Armenia,ARM,1998,9.05,142.23,136.14,851.07,7.63,472.81,43.52
Armenia,ARM,1999,9.24,143.28,139.63,869.12,7.45,469.43,43.05
Armenia,ARM,2000,9.41,141.37,141.47,873.9,7.18,452.93,42.6
Armenia,ARM,2001,9.59,143.41,147.33,900.96,6.79,451.97,43.26
Armenia,ARM,2002,9.59,143.53,150.96,921.03,6.85,442.47,42.26
Armenia,ARM,2003,9.5,146.27,156.32,950.86,7.37,439.59,42.47
Armenia,ARM,2004,9.46,145.85,158.03,957.78,7.36,428.34,41.81
Armenia,ARM,2005,9.44,148.06,163.72,987.83,7.15,424.83,41.96
Armenia,ARM,2006,9.31,150.48,169.98,1019.78,7.08,420.32,42.38
Armenia,ARM,2007,9.09,149.25,171.74,1029.07,7.4,403.35,41.24
Armenia,ARM,2008,9.08,153.34,178.48,1064.85,7.18,400.59,41.22
Armenia,ARM,2009,9.01,153.89,180.5,1074.95,7.4,387.44,39.8
Armenia,ARM,2010,8.94,153.46,182.6,1090.9,7.29,371.42,38.9
Armenia,ARM,2011,8.77,152.2,184.23,1102.9,7.1,363.51,37.51
Armenia,ARM,2012,8.69,149.9,184.12,1107.37,6.99,360.76,35.11
Armenia,ARM,2013,8.58,146.16,181.43,1109.72,6.97,355.49,32.45
Armenia,ARM,2014,8.42,146.16,183.27,1138.94,6.94,359.81,31.65
Armenia,ARM,2015,8.35,148.46,188.87,1172.69,7.31,375.69,32
Armenia,ARM,2016,8.36,145.15,187.6,1154.5,7.36,375.95,31.02
Armenia,ARM,2017,7.99,144.32,189.47,1140.13,6.94,383.35,31.44
Armenia,ARM,2018,7.75,143.82,191.14,1129.64,6.62,388.14,32.46
Armenia,ARM,2019,7.5,143.19,193.2,1112.79,6.43,395.75,33.08
Australia,AUS,1990,4.89,162.28,186.24,1348.71,3.88,429.42,28.6
Australia,AUS,1991,4.71,160.42,186.67,1338.91,3.82,422.86,28.53
Australia,AUS,1992,4.8,160.7,189.45,1353.78,3.81,418.48,28.62
Australia,AUS,1993,4.71,159.79,190.93,1360.9,3.78,410.51,28.51
Australia,AUS,1994,4.68,160.5,194.44,1378.91,3.89,405.59,28.78
Australia,AUS,1995,4.6,158.71,194.99,1376.08,3.89,394.03,28.7
Australia,AUS,1996,4.52,157.59,196.81,1378.99,3.81,384.72,28.65
Australia,AUS,1997,4.44,155.02,196.72,1367.55,3.64,369.23,28.54
Australia,AUS,1998,4.29,152.21,196.23,1356.89,3.48,353.22,28.48
Australia,AUS,1999,4.13,149.45,195.81,1351.37,3.41,337.96,28.15
Australia,AUS,2000,4.01,147.19,195.96,1344,3.35,328.41,27.59
Australia,AUS,2001,3.94,144.73,196.19,1336.74,3.21,319.98,26.76
Australia,AUS,2002,3.9,142.97,197.03,1336.66,3.15,314.23,26.38
Australia,AUS,2003,3.84,138.46,193.67,1306.65,2.95,302.26,25.86
Australia,AUS,2004,3.83,138.74,197.04,1323.59,2.89,302.07,25.86
Australia,AUS,2005,3.77,137.16,197.71,1321.81,2.79,298.58,25.51
Australia,AUS,2006,3.61,135.98,199.15,1326.1,2.71,294.9,25.25
Australia,AUS,2007,3.55,136.7,202.87,1342.12,2.72,297.36,25.36
Australia,AUS,2008,3.5,136.84,205.36,1357.83,2.7,295.33,25.31
Australia,AUS,2009,3.41,134.96,204.57,1340.96,2.71,291.92,25.3
Australia,AUS,2010,3.36,132.97,203.79,1330.08,2.77,287.16,24.71
Australia,AUS,2011,3.23,131.92,204.8,1330.3,2.75,284.88,24.08
Australia,AUS,2012,3.12,129.56,203.85,1312.24,2.71,281.2,23.32
Australia,AUS,2013,3.14,128.31,204.32,1297.8,2.71,281.04,23.18
Australia,AUS,2014,3.04,128.08,206.66,1294.27,2.66,281.02,23.2
Australia,AUS,2015,3.06,127.36,208.26,1291.12,2.65,278.07,23.18
Australia,AUS,2016,2.99,124.99,207.37,1270.61,2.52,272.18,22.84
Australia,AUS,2017,2.94,124.5,209.61,1254.14,2.44,271.49,22.81
Australia,AUS,2018,2.88,125.94,215.15,1265.83,2.49,275.19,22.57
Australia,AUS,2019,2.81,126.1,218.58,1266.78,2.46,275.73,22.34
